Id,Week,Completion time,Email,Name,Rate the following 1-5 (with 1 being the least and 5 being the most).How would you rate your day so far?,Rate the following 1-5 (with 1 being the least and 5 being the most).What is your experience with coding?,Rate the following 1-5 (with 1 being the least and 5 being the most).How would you rate your python experience?
75,Week 1,10/16/2024 18:10,anonymous,,3,1,1
76,Week 1,10/16/2024 18:10,anonymous,,3,2,2
77,Week 1,10/16/2024 18:11,anonymous,,3,3,4
78,Week 1,10/16/2024 19:53,anonymous,,3,1,1
79,Week 2,10/23/2024 18:07,anonymous,,5,5,5
80,Week 2,10/23/2024 18:07,anonymous,,4,4,3
81,Week 2,10/23/2024 18:07,anonymous,,2,1,2
82,Week 2,10/23/2024 18:07,anonymous,,5,4,5
83,Week 2,10/23/2024 18:07,anonymous,,3,1,1
84,Week 2,10/23/2024 18:07,anonymous,,3,2,1
85,Week 2,10/23/2024 18:07,anonymous,,5,3,5
86,Week 2,10/23/2024 18:07,anonymous,,3,2,3
87,Week 2,10/23/2024 18:07,anonymous,,4,4,3
88,Week 2,10/23/2024 18:07,anonymous,,3,4,2
89,Week 2,10/23/2024 18:07,anonymous,,3,3,2
90,Week 2,10/23/2024 18:07,anonymous,,4,3,3
91,Week 2,10/23/2024 18:07,anonymous,,3,2,2
92,Week 2,10/23/2024 18:07,anonymous,,5,1,1
93,Week 2,10/23/2024 18:07,anonymous,,5,3,4
94,Week 2,10/23/2024 18:07,anonymous,,2,3,3
95,Week 2,10/23/2024 18:07,anonymous,,4,2,2
96,Week 2,10/23/2024 18:07,anonymous,,4,5,1
97,Week 2,10/23/2024 18:07,anonymous,,3,2,1
98,Week 2,10/23/2024 18:07,anonymous,,2,4,3
99,Week 2,10/23/2024 18:07,anonymous,,3,4,3
100,Week 2,10/23/2024 18:07,anonymous,,3,2,2
101,Week 2,10/23/2024 18:07,anonymous,,4,4,4
102,Week 2,10/23/2024 18:07,anonymous,,3,2,1
103,Week 2,10/23/2024 18:07,anonymous,,3,4,4
104,Week 2,10/23/2024 18:08,anonymous,,4,1,5
105,Week 2,10/23/2024 18:08,anonymous,,2,5,5
106,Week 2,10/23/2024 18:08,anonymous,,4,3,3
107,Week 2,10/23/2024 18:08,anonymous,,4,4,4
108,Week 2,10/23/2024 18:08,anonymous,,5,5,5
109,Week 2,10/23/2024 18:08,anonymous,,4,3,4
110,Week 2,10/23/2024 18:08,anonymous,,5,1,4
111,Week 2,10/23/2024 18:08,anonymous,,3,3,3
112,Week 2,10/23/2024 18:08,anonymous,,4,5,3
113,Week 2,10/23/2024 18:08,anonymous,,3,4,4
114,Week 2,10/23/2024 18:08,anonymous,,4,2,2
115,Week 2,10/23/2024 18:08,anonymous,,2,2,2
116,Week 2,10/23/2024 18:08,anonymous,,4,3,2
117,Week 2,10/23/2024 18:08,anonymous,,4,4,4
118,Week 2,10/23/2024 18:08,anonymous,,1,3,3
119,Week 2,10/23/2024 18:09,anonymous,,4,3,3
120,Week 2,10/23/2024 18:09,anonymous,,3,4,4
121,Week 2,10/23/2024 18:09,anonymous,,3,3,2
122,Week 3,10/23/2024 21:28,anonymous,,5,5,5
123,Week 3,10/30/2024 18:09,anonymous,,3,3,3
124,Week 3,10/30/2024 18:09,anonymous,,2,4,4
125,Week 3,10/30/2024 18:09,anonymous,,4,3,3
126,Week 3,10/30/2024 18:09,anonymous,,5,4,4
127,Week 3,10/30/2024 18:09,anonymous,,2,2,3
128,Week 3,10/30/2024 18:09,anonymous,,3,2,2
129,Week 3,10/30/2024 18:09,anonymous,,5,5,3
130,Week 3,10/30/2024 18:09,anonymous,,2,5,4
131,Week 3,10/30/2024 18:09,anonymous,,5,4,5
132,Week 3,10/30/2024 18:09,anonymous,,3,2,2
133,Week 3,10/30/2024 18:09,anonymous,,4,2,2
134,Week 3,10/30/2024 18:09,anonymous,,3,4,3
135,Week 3,10/30/2024 18:09,anonymous,,4,4,3
136,Week 3,10/30/2024 18:09,anonymous,,5,3,3
137,Week 3,10/30/2024 18:09,anonymous,,4,2,1
138,Week 3,10/30/2024 18:09,anonymous,,4,3,4
139,Week 3,10/30/2024 18:09,anonymous,,4,3,4
140,Week 3,10/30/2024 18:09,anonymous,,3,2,2
141,Week 3,10/30/2024 18:09,anonymous,,2,4,3
142,Week 3,10/30/2024 18:09,anonymous,,1,1,1
143,Week 3,10/30/2024 18:09,anonymous,,1,4,4
144,Week 3,10/30/2024 18:09,anonymous,,4,4,4
145,Week 3,10/30/2024 18:09,anonymous,,3,3,2
146,Week 3,10/30/2024 18:09,anonymous,,3,4,3
147,Week 3,10/30/2024 18:09,anonymous,,1,3,3
148,Week 3,10/30/2024 18:09,anonymous,,3,4,3
149,Week 3,10/30/2024 18:09,anonymous,,3,2,1
150,Week 3,10/30/2024 18:09,anonymous,,1,2,2
151,Week 3,10/30/2024 18:09,anonymous,,1,2,2
152,Week 3,10/30/2024 18:09,anonymous,,3,4,4
153,Week 3,10/30/2024 18:09,anonymous,,5,1,3
154,Week 3,10/30/2024 18:09,anonymous,,4,4,4
155,Week 3,10/30/2024 18:09,anonymous,,3,3,3
156,Week 3,10/30/2024 18:09,anonymous,,4,4,4
157,Week 3,10/30/2024 18:09,anonymous,,3,4,4
158,Week 3,10/30/2024 18:09,anonymous,,3,3,3
159,Week 3,10/30/2024 18:09,anonymous,,4,1,3
160,Week 3,10/30/2024 18:09,anonymous,,2,2,2
161,Week 3,10/30/2024 18:09,anonymous,,3,4,4
162,Week 3,10/30/2024 18:10,anonymous,,3,2,2
